financial_industry,suffix,name,exposure,emissions,emissionsPerYearPerEuroTCO2,startDate,endDate,asset_type
Produção de Eletricidade,ELETR,L,3622074,383 ,0.0001058036098,2022-01-01,2033-06-27,commodities
Produção de Eletricidade,ELETR,M,2117616,320 ,0.0001509378355,2022-01-01,2026-06-29,commodities
Produção de Eletricidade,ELETR,N,1800145,161 ,0.00008932722174,2022-01-01,2037-09-30,commodities
Produção de Eletricidade,ELETR,O,1763727,330 ,0.0001873377571,2022-01-01,2026-06-29,commodities
Produção de Eletricidade,ELETR,P,1737290,80 ,0.00004607039006,2022-01-01,2025-02-18,commodities
Produção de Eletricidade,ELETR,Q,1592694,142 ,0.00008932722174,2022-01-01,2023-03-30,commodities
Produção de Eletricidade,ELETR,R,1182962,178 ,0.000150174882,2022-01-01,2026-06-29,commodities
Fabricação de Cimento,CIM,X,76286693,439345,0.005759130233,2022-01-01,2027-04-29,commodities
Fabricação de Cimento,CIM,Y,16999805,9846,0.0005791545603,2022-01-01,2025-05-06,commodities
Fabricação de Cimento,CIM,Z,15110938,7899,0.000522747152,2022-01-01,2025-05-06,commodities
